Keyword Stats 2025-07-29 at 13_55_51
"July 1, 2024 - June 30, 2025"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Jul 2024	Searches: Aug 2024	Searches: Sep 2024	Searches: Oct 2024	Searches: Nov 2024	Searches: Dec 2024	Searches: Jan 2025	Searches: Feb 2025	Searches: Mar 2025	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025
consorcio casa 500 mil	BRL	50	∞	0%	High	86	5.85	19.77																	
consorcio como funciona imovel	BRL	50	0%	0%	Unknown																				
consorcio contemplado imoveis bradesco	BRL		 --	 --	Unknown																				
consorcio contemplado porto seguro imoveis	BRL		 --	 --	Unknown																				
consorcio da caixa imovel	BRL	50	0%	0%	High	93	1.01	9.51																	
consorcio de imoveis bradesco é bom	BRL		 --	 --	Unknown																				
consorcio de imoveis o que é	BRL	50	0%	0%	Unknown																				
consorcio de imoveis ou financiamento	BRL	50	-100%	0%	Unknown																				
consorcio de imoveis rurais	BRL	50	0%	0%	Unknown																				
consorcio de imoveis x financiamento	BRL	0	0%	0%	Unknown																				
consorcio de imoveis é vantajoso	BRL		 --	 --	Unknown																				
consorcio de imovel caixa simulação	BRL	50	0%	0%	Unknown																				
consorcio de imovel compensa	BRL	0	0%	0%	Unknown																				
consorcio de imovel da caixa vale a pena	BRL		 --	 --	Unknown																				
consorcio de imovel itau simulador	BRL	50	∞	∞	High	71																			
consorcio de imovel pela caixa economica federal	BRL	50	0%	∞	Medium	64																			
consorcio de imovel pode comprar terreno	BRL	50	0%	0%	Unknown																				
consorcio de imovel porto	BRL	50	-100%	0%	Unknown																				
consorcio de imovel posso pegar o dinheiro	BRL	0	0%	0%	Unknown																				
consorcio de imovel é bom	BRL	50	0%	0%	Unknown																				
consorcio de imovel é melhor que financiamento	BRL	0	0%	0%	Unknown																				
consorcio de terreno porto seguro	BRL		 --	 --	Unknown																				
consorcio embracon imovel	BRL	0	0%	0%	Unknown																				
consorcio imobiliario 360 meses	BRL		 --	 --	Unknown																				
consorcio imobiliario caixa economica federal	BRL	0	0%	0%	Unknown																				
consorcio imobiliario mapfre	BRL	50	0%	0%	Unknown																				
consorcio imobiliario para reforma	BRL	50	0%	0%	Unknown																				
consorcio imobiliario santander é bom	BRL		 --	 --	Unknown																				
consorcio imobiliario x financiamento	BRL	50	-100%	-100%	Unknown																				
consorcio imoveis itau contemplado como funciona	BRL	50	-100%	0%	Unknown																				
consorcio imovel bradesco vale a pena	BRL	50	0%	0%	Unknown																				
consorcio imovel caixa economica	BRL	50	-100%	0%	Unknown																				
consorcio imovel cef	BRL	50	-100%	0%	Unknown																				
consorcio imovel construção	BRL	0	0%	0%	Unknown																				
consorcio imovel em andamento	BRL	0	0%	0%	Unknown																				
consorcio imovel itau simulador	BRL	50	0%	-100%	Unknown																				
consorcio imovel poupex	BRL	0	0%	0%	Unknown																				
consorcio imovel simulação caixa	BRL	0	0%	0%	Unknown																				
consorcio itau imoveis contemplado	BRL	50	0%	0%	Unknown																				
consorcio mais barato de imoveis	BRL	0	0%	0%	Unknown																				
consorcio ou credito imobiliario	BRL	50	∞	∞	Medium	57																			
consorcio ou financiamento de imoveis	BRL	50	-100%	-100%	Unknown																				
consorcio ou financiamento de imovel	BRL	50	-100%	-100%	Unknown																				
consorcio ou financiamento imobiliario	BRL	50	∞	∞	Medium	57																			
consorcio ou financiamento imovel	BRL	50	0%	0%	Unknown																				
consorcio ou financiamento para imovel	BRL	50	0%	-100%	Unknown																				
consorcio para construção de imovel	BRL	50	∞	0%	High	93																			
consorcio para imovel compensa	BRL		 --	 --	Unknown																				
consorcio poupex imovel	BRL		 --	 --	Unknown																				
consorcio premium imoveis	BRL		 --	 --	Unknown																				
consorcio reforma imovel	BRL	0	0%	0%	Unknown																				
consorcio residencial bradesco	BRL	0	0%	0%	Unknown																				
consorcio residencial vale a pena	BRL	50	0%	-100%	Unknown																				
consorcio terreno porto seguro	BRL	0	0%	0%	Unknown																				
consorcio terreno rural	BRL	50	-100%	-100%	Unknown																				
consorcio yamaha imovel	BRL	0	0%	0%	Unknown																				
consorcios imobiliarios como funciona	BRL	50	0%	0%	High	80	2.08	4.64																	
consórcio caixa econômica federal imóveis	BRL	0	0%	0%	Unknown																				
consórcio de imóveis caixa econômica	BRL	50	0%	0%	Unknown																				
consórcio de imóveis da caixa	BRL	50	0%	0%	High	73	1.13	6.03																	
consórcio de imóveis pela caixa	BRL	50	0%	0%	High	73	1.13	6.03																	
consórcio de terreno bradesco	BRL	50	0%	0%	Unknown																				
consórcio de terreno santander	BRL	0	0%	0%	Unknown																				
consórcio imobiliario caixa	BRL	50	0%	0%	High	82	1.14	6.74																	
consórcio imobiliário caixa como funciona	BRL	50	∞	∞	High	100																			
consórcio imobiliário ou financiamento	BRL	0	0%	0%	Unknown																				
consórcio imobiliário ou financiamento qual o melhor	BRL	50	-100%	0%	Unknown																				
consórcio imobiliário vale a pena 2020	BRL	0	0%	0%	Unknown																				
consórcio imobiliário é bom negócio	BRL	50	-100%	-100%	Unknown																				
consórcio imobiliário é um bom negócio	BRL	50	0%	0%	Unknown																				
consórcio imovel itau	BRL	50	0%	0%	Medium	60	2.36	10.13																	
consórcio imovel vale a pena	BRL	0	0%	0%	Unknown																				
consórcio imóvel caixa vale a pena	BRL	50	∞	∞	Low	14																			
consórcio imóvel sicoob	BRL	50	0%	0%	High	86																			
consórcio ou financiamento imobiliário	BRL	50	-100%	-100%	Unknown																				
consórcio ou financiamento imóvel 2020	BRL	0	0%	0%	Unknown																				
consórcio ou financiamento imóvel 2021	BRL	0	0%	0%	Unknown																				
consórcio poupex imóvel	BRL	50	0%	0%	Unknown																				
consórcio x financiamento imobiliário	BRL	50	0%	0%	Unknown																				
consórcio x financiamento imóvel	BRL	0	0%	0%	Unknown																				
contemplada imovel	BRL	50	0%	0%	Unknown																				
cotas contempladas de imóveis	BRL	0	0%	0%	Unknown																				
credito imobiliario ou consorcio	BRL	50	0%	0%	Unknown																				
credito imobiliario x financiamento	BRL	0	0%	0%	Unknown																				
fazer consorcio de imovel vale a pena	BRL	50	0%	0%	Medium	64																			
financiamento imobiliario ou consorcio	BRL	50	0%	-100%	Unknown																				
financiamento ou consorcio de imoveis	BRL	50	0%	-100%	Unknown																				
financiamento ou consorcio imobiliario	BRL	50	-100%	-100%	Unknown																				
financiamento ou consorcio imovel	BRL	50	0%	0%	High	86																			
financiamento ou consórcio imóvel	BRL	50	0%	-100%	Unknown																				
hs consorcio imovel	BRL		 --	 --	Unknown																				
imovel consorcio ou financiamento	BRL	50	-100%	0%	Unknown																				
imovel financiamento ou consorcio	BRL	50	-100%	0%	Unknown																				
investir em consorcio imobiliario vale a pena	BRL	50	0%	0%	Unknown																				
itau consorcio de imoveis	BRL	50	0%	0%	High	86																			
melhor consorcio ou financiamento imovel	BRL		 --	 --	Unknown																				
melhor consórcio imóvel 2021	BRL	0	0%	0%	Unknown																				
parcelas de consorcio de imoveis	BRL	0	0%	0%	Unknown																				
porto seguro consorcio imovel contemplado	BRL	0	0%	0%	Unknown																				
portoseguro consorcio imovel	BRL	50	0%	0%	High	81	2.78	8.57																	
posso comprar terreno com consorcio	BRL	0	0%	0%	Unknown																				
posso comprar terreno com consórcio	BRL	50	∞	∞	High	86																			
santander consorcio imoveis	BRL	0	0%	0%	Unknown																				
sicoob consorcio imoveis	BRL	50	0%	0%	High	71																			
simulador consorcio caixa economica imoveis	BRL	0	0%	0%	Unknown																				
simulador consorcio imobiliario caixa economica federal	BRL	0	0%	0%	Unknown																				
simulador consorcio imovel santander	BRL	50	0%	0%	Unknown																				
simulação consorcio imobiliario sicoob	BRL	50	0%	-100%	Unknown																				
simulação consorcio imovel caixa economica federal	BRL	0	0%	0%	Unknown																				
simulação consorcio imovel porto seguro	BRL	50	0%	0%	Unknown																				
simulação consorcio imovel santander	BRL	50	0%	0%	Unknown																				
simulação consórcio bradesco imóvel	BRL	0	0%	0%	Unknown																				
simulação consórcio imobiliário caixa	BRL	50	-100%	-100%	Unknown																				
simulação de consorcio imobiliario caixa economica federal	BRL		 --	 --	Unknown																				
vale a pena consorcio imovel	BRL	0	0%	0%	Unknown																				
vale a pena consorcio para imovel	BRL	50	0%	0%	Unknown																				
vale a pena consórcio de imóveis	BRL	0	0%	-100%	Unknown																				
vale a pena fazer consorcio imobiliario	BRL	50	0%	-100%	Unknown																				
vale a pena fazer consórcio imobiliário	BRL	50	0%	-100%	Unknown																				
vale a pena fazer um consorcio imobiliario	BRL	50	0%	-100%	Unknown																				
vale a pena fazer um consórcio imobiliário	BRL	50	∞	∞	High	86																			
vendo carta de credito contemplada imovel	BRL	0	0%	0%	Unknown																				
consorcio de casa na praia	BRL		 --	 --	Unknown																				
consorcio de imoveis caixa como funciona	BRL	50	0%	-100%	Unknown																				
cef consórcio	BRL	50	0%	0%	Medium	57																			
bradesco consorcio casa	BRL	50	-100%	0%	Unknown																				
bradesco consorcio veiculos	BRL	50	0%	∞	High	71																			
caixa consorcio casa	BRL	50	0%	∞	Medium	57																			
caixa consorcios imobiliario	BRL	50	0%	0%	Low	0																			
caixa consorcios imoveis	BRL	50	-100%	0%	Unknown																				
caixa economica consorcio imobiliario	BRL	50	0%	0%	High	82	1.75	9.27																	
caixa federal consorcio imobiliario	BRL		 --	 --	Unknown																				
carta contemplada casa	BRL	50	0%	0%	Unknown																				
carta de crédito bradesco imóveis	BRL	50	0%	0%	Unknown																				
casa consorciada	BRL	0	0%	0%	Unknown																				
casa de consorcio	BRL	50	0%	0%	Unknown																				
casa de consórcio	BRL	50	0%	0%	High	89	3.27	12.69																	
casa do consorcio	BRL	50	-100%	0%	Unknown																				
casa do consórcio	BRL	50	0%	0%	High	84	4.27	14.93																	
casa propria consorcio	BRL	0	0%	0%	Unknown																				
casa própria consórcio	BRL	0	0%	0%	Unknown																				
consorcio bradesco simulação	BRL	50	0%	0%	High	84	1.93	4.83																	
consorcio caixa de imoveis	BRL	50	0%	0%	High	73	1.13	6.03																	
consorcio casa 200 mil	BRL	50	∞	0%	High	86																			
consorcio casa contemplado	BRL	50	0%	0%	Unknown																				
consorcio casa da caixa	BRL	0	0%	0%	Unknown																				
consorcio casa itaú	BRL	50	∞	0%	High	71																			
consorcio casa propria caixa	BRL	50	0%	0%	Unknown																				
consorcio casa propria itau	BRL	0	0%	0%	Unknown																				
consorcio casa sicoob	BRL	50	0%	0%	Medium	57																			
consorcio casa vale a pena	BRL	50	0%	0%	Unknown																				
consorcio chevrolet de fabrica	BRL	0	0%	0%	Unknown																				
consorcio contemplado casa	BRL	50	0%	0%	Unknown																				
consorcio de casa da caixa	BRL	50	0%	0%	Unknown																				
consorcio de casa é bom	BRL	50	0%	0%	Unknown																				
consorcio de casas itau	BRL		 --	 --	Unknown																				
consorcio de imoveis banco itau	BRL	0	0%	0%	Unknown																				
consorcio de imoveis caixa economica federal	BRL	50	0%	-100%	Unknown																				
consorcio de imoveis da caixa	BRL	50	0%	0%	High	73	1.13	6.03																	
consorcio de imoveis da caixa economica	BRL	50	0%	0%	Unknown																				
consorcio de imoveis hs	BRL	0	0%	0%	Unknown																				
consorcio imobiliario caixa simulação	BRL	50	0%	0%	Medium	46	0.47	3.73																	
consorcio imoveis caixa economica federal	BRL	0	0%	0%	Unknown																				
consorcio imoveis caixa simulação	BRL	50	0%	0%	Unknown																				
consorcio moto vale a pena	BRL	50	-100%	-100%	Unknown																				
consórcio casa como funciona	BRL	50	0%	-100%	Unknown																				
consórcio de casas caixa economica federal	BRL	0	0%	0%	Unknown																				
consórcio de imoveis caixa	BRL	0	0%	0%	Unknown																				
consórcio de imóveis magazine luiza	BRL	50	-100%	0%	Unknown																				
consórcio estética magazine luiza	BRL	0	0%	0%	Unknown																				
consórcio honda civic 2021	BRL	50	0%	0%	Unknown																				
contemplado consorcio honda	BRL	50	-100%	-100%	Unknown																				
itau consorcio casa	BRL	50	∞	0%	High	71																			
santander consorcio casa	BRL	50	∞	∞	High	86																			
www caixa consorcio imobiliario	BRL	0	0%	0%	Unknown																				
consórcio terreno caixa	BRL	50	0%	-100%	Unknown																				
consorcio para comprar terreno	BRL	50	∞	∞	High	100																			
carta de credito para compra de terreno	BRL	0	0%	0%	Unknown																				
carta de credito para comprar terreno	BRL	50	-100%	0%	Unknown																				
comprar terreno com carta de credito	BRL	0	0%	0%	Unknown																				
comprar terreno com consorcio	BRL	50	0%	0%	Unknown																				
consorcio caixa terreno	BRL	50	0%	0%	Unknown																				
consorcio de terreno banco do brasil	BRL		 --	 --	Unknown																				
consorcio de terreno como funciona	BRL	50	-100%	0%	Unknown																				
consorcio de terrenos caixa	BRL	50	0%	-100%	Unknown																				
consorcio lote caixa	BRL	50	0%	0%	Unknown																				
consorcio terreno banco do brasil	BRL	0	0%	0%	Unknown																				
consorcio terreno bb	BRL	0	0%	0%	Unknown																				
consorcio terreno caixa	BRL	50	0%	-100%	Unknown																				
consorcio terreno itau	BRL	0	0%	0%	Unknown																				
consorcio terreno santander	BRL	0	0%	0%	Unknown																				
consorcio terrenos caixa economica	BRL	0	0%	0%	Unknown																				
consórcio terreno bradesco	BRL	0	0%	0%	Unknown																				
parcelas consórcio vitória sem entrada	BRL		 --	 --	Unknown																				
consórcio imóvel serra es	BRL		 --	 --	Unknown																				
consórcio imóvel espírito santo	BRL		 --	 --	Unknown																				
